sports,Food,enjoy,final,greneery,placements
9,9,7,0,8,9
5,10,6,1,10,10
8,8,9,0,8,8
9,10,9,0,10,10
9,10,10,1,9,6
6,4,7,0,8,4
6,10,10,0,9,10
10,10,10,1,10,10
10,10,10,1,10,10
8,9,8,1,10,10
3,2,6,0,5,10
10,7,3,0,6,10
10,10,10,1,10,10
10,3,6,1,6,10
10,10,6,0,10,1
6,10,8,0,10,3
10,10,9,1,10,10
9,8,8,1,10,10
10,10,9,1,10,10
8,10,1,0,10,10
10,10,8,1,10,10
5,9,7,0,8,10
9,10,8,0,10,10
5,5,5,0,5,5
1,10,5,1,10,10
8,8,8,1,8,8
7,9,10,0,10,10
10,9,9,0,5,10
10,9,8,0,8,10
10,10,10,1,10,10
3,5,6,0,8,9
9,7,8,1,9,8
7,4,8,1,8,9
8,7,8,1,6,10
10,8,7,1,10,8
7,10,8,1,9,10
10,10,10,1,10,10
8,5,7,0,7,8
6,9,8,0,8,8
8,10,10,0,10,3
10,10,10,1,10,10
6,9,8,0,10,8
8,7,9,0,7,8
7,5,8,1,8,9
7,8,4,0,7,8
7,10,9,0,8,10
